text,label
시장 마감 브리핑 전달드립니다(안내),0
★긴급★ 상한가 정보 무료★,1
[광고] 급등주 무료로 받아가세요!!,1
고수익 보장 리딩 무료체험~,1
☆무료체험☆ 지금 신청하세요!!,1
지금 가입하면 리딩 무료!!,1
주주총회 개최 결과 안내입니다,0
오늘 종가와 시황 안내드립니다 - 증권사,0
신규 상장 종목 정보 안내 참고 바랍니다,0
증권 계좌 거래 내역 안내 참고 바랍니다,0
무료 리딩방 입장 코드 발송!!,1
묻지마 급등 종목 무료 안내,1
VIP 종목 선착순 무료 배포~,1
주식 배정 결과를 안내드립니다(안내),0
단타 고수익 비법 무료 공개~,1
★한정★ 급등주 무료 상담★,1
월간 투자 리포트를 보내드립니다,0
★대박★ 상한가 종목 추천,1
정기 예금 만기 안내입니다,0
오늘 종가와 시황 안내드립니다입니다,0
단타 고수익 비법 무료 공개♥ 지금,1
3분기 실적 발표 자료입니다,0
증권 계좌 거래 내역 안내 - 증권사,0
VIP 종목 선착순 무료 배포!!,1
★긴급★ 상한가 정보 무료!!,1
지금 클릭 무료 종목 추천★,1
월간 투자 리포트를 보내드립니다 - 증권사,0
☆무료체험☆ 지금 신청하세요,1
배당금 지급 일정 공지입니다,0
고수익 보장 리딩 무료체험♥ 지금,1
펀드 운용 보고서 발송 안내 - 증권사,0
지금 가입하면 리딩 무료★,1
주주총회 개최 결과 안내 - 증권사,0
펀드 운용 보고서 발송 안내(안내),0
[속보] 폭등 예정주 무료~,1
시장 마감 브리핑 전달드립니다 참고 바랍니다,0
신규 상장 종목 정보 안내(안내),0
대박 종목 무료로 드립니다,1
정기 예금 만기 안내입니다 - 증권사,0
묻지마 급등 종목 무료 안내★,1
묻지마 급등 종목 무료 안내!!,1
신규 상장 종목 정보 안내,0
주주총회 개최 결과 안내,0
오늘만 무료! 급등주 확인♥ 지금,1
지금 클릭 무료 종목 추천,1
공시 자료 업데이트 안내입니다 - 증권사,0
VIP 종목 선착순 무료 배포,1
★수익률 300%★ 지금 클릭!!,1
연금 계좌 수익률 안내입니다입니다,0
☆무료체험☆ 지금 신청하세요~,1
★수익률 300%★ 지금 클릭,1
반기 보고서 열람 안내입니다,0
[광고] 급등주 무료로 받아가세요~,1
수익 보장 투자 지금 시작,1
증권 계좌 거래 내역 안내입니다,0
오늘 종가와 시황 안내드립니다,0
지금 클릭 무료 종목 추천!!,1
고수익 보장 리딩 무료체험★,1
3분기 실적 발표 자료입니다(안내),0
채권 이자 지급 예정 안내,0
[광고] 급등주 무료로 받아가세요★,1
펀드 운용 보고서 발송 안내입니다,0
단타 고수익 비법 무료 공개!!,1
즉시 수익 보장 가입하세요!!,1
무료 리딩방 입장 코드 발송,1
주식 배정 결과를 안내드립니다입니다,0
급등 임박 종목 무료 공개,1
3분기 실적 발표 자료입니다 참고 바랍니다,0
주주총회 개최 결과 안내 참고 바랍니다,0
즉시 수익 보장 가입하세요★,1
수익 보장 투자 지금 시작!!,1
즉시 수익 보장 가입하세요♥ 지금,1
