날짜,라인,계획생산량,실제생산량,불량수,불량률(%),가동률(%),UPH,비고
2025-01-01,L1-반도체,11619,10354,178,1.72,89.1,1294,
2025-01-01,L2-반도체,10003,9025,154,1.71,90.2,1128,
2025-01-01,L3-디스플레이,11771,11230,168,1.5,95.4,1403,
2025-01-01,L4-디스플레이,11418,10529,97,0.93,92.2,1316,
2025-01-01,L5-모바일,9895,8937,139,1.56,90.3,1117,
2025-01-02,L1-반도체,11298,10166,163,1.61,90,1270,
2025-01-02,L2-반도체,11232,10355,143,1.39,92.2,1294,
2025-01-02,L3-디스플레이,10139,9743,88,0.91,96.1,1217,
2025-01-02,L4-디스플레이,9653,9168,116,1.27,95,1146,
2025-01-02,L5-모바일,9636,8687,151,1.74,90.2,1085,
2025-01-03,L1-반도체,9418,8375,84,1.01,88.9,1046,
2025-01-03,L2-반도체,10408,9787,175,1.79,94,1223,
2025-01-03,L3-디스플레이,11988,11100,115,1.04,92.6,1387,
2025-01-03,L4-디스플레이,10550,9367,114,1.22,88.8,1170,
2025-01-03,L5-모바일,11574,10900,201,1.85,94.2,1362,
2025-01-06,L1-반도체,11364,10218,100,0.98,89.9,1277,
2025-01-06,L2-반도체,11708,10569,128,1.22,90.3,1321,
2025-01-06,L3-디스플레이,9326,9004,166,1.85,96.6,1125,
2025-01-06,L4-디스플레이,10556,9582,153,1.6,90.8,1197,
2025-01-06,L5-모바일,10494,9405,121,1.29,89.6,1175,
2025-01-07,L1-반도체,11745,10649,205,1.93,90.7,1331,
2025-01-07,L2-반도체,11654,10338,165,1.6,88.7,1292,
2025-01-07,L3-디스플레이,11187,10660,115,1.08,95.3,1332,
2025-01-07,L4-디스플레이,10554,9572,183,1.92,90.7,1196,
2025-01-07,L5-모바일,11818,11058,182,1.65,93.6,1382,
2025-01-08,L1-반도체,9229,8332,78,0.94,90.3,1041,
2025-01-08,L2-반도체,10292,9469,91,0.97,92,1183,
2025-01-08,L3-디스플레이,11323,10956,136,1.25,96.8,1369,
2025-01-08,L4-디스플레이,11684,10865,203,1.87,93,1358,
2025-01-08,L5-모바일,11633,10770,128,1.19,92.6,1346,
2025-01-09,L1-반도체,10010,9554,142,1.49,95.4,1194,
2025-01-09,L2-반도체,11394,10514,161,1.54,92.3,1314,
2025-01-09,L3-디스플레이,10482,9454,189,2,90.2,1181,
2025-01-09,L4-디스플레이,11087,10303,178,1.73,92.9,1287,
2025-01-09,L5-모바일,9449,8459,91,1.08,89.5,1057,
